ddb_g	bio1.hr00	bio1.hr04	bio1.hr08	bio1.hr12	bio1.hr16	bio1.hr20	bio1.hr24	bio2.hr00	bio2.hr04	bio2.hr08	bio2.hr12	bio2.hr16	bio2.hr20	bio2.hr24	bio2.prespore	bio2.prestalk	bio4.prespore	bio4.prestalk
DDB_G0286255	0	6.51285995307817	0	0	0	5.96360380054977	5.3792515404898	0	8.97003499427858	0	0	0	7.45948010825886	6.64778547630615	4.06634689103113	1.48090598649967	1.34011940990238	0
DDB_G0286257	339.226235245993	1165.40480996598	750.752728540335	486.153860092315	273.079892725922	195.329621853740	346.520889318782	370.202032693594	1387.12283940032	851.805460159029	361.137292513373	342.742922251015	288.431161955212	411.94573145723	961.69103972886	912.978540677049	505.225017533196	86.0699004125263
DDB_G0286259	30.5242640790772	35.9538810713560	231.772031740028	203.009649510853	462.706131441746	537.721802913708	562.241594991957	6.07013751453912	101.237984137571	115.193019596368	198.875636200167	199.950752716836	282.766895523289	320.5022412721	357.838526410739	85.892547216981	6.70059704951188	22.7832089327275
DDB_G0286261	26.1312145288734	23.4075448404398	51.4410348636571	37.1464923157179	35.2100891953608	17.5364924081553	24.6060174609565	10.7779753464938	39.0772787827217	54.2014235123809	40.0273861345844	30.228770237506	24.9818079207012	23.8924739280960	164.687049086761	101.442060075228	56.2850152158998	30.3776119103034
DDB_G0286263	0	1.45218718585547	0.731354403942352	0.938887306364726	2.86053496446202	0.664859146601505	3.59827182506841	0	0	0.697901681153057	1.87095695720719	0.438916637099604	0.415814308322317	1.48227183642191	10.1658672275778	1.48090598649967	1.34011940990238	12.6573382959597
DDB_G0286265	0	3.99858655850684	0	0	1.57529232738665	3.66136937826650	1.65130242778087	0	0	7.6866682438711	0	1.20855367855186	3.43482476698685	2.04071220945196	2.03317344551556	0	4.02035822970713	0
DDB_G0286267	3.70032296876734	2.03398144986133	2.04871838201331	10.5202931592109	6.41049595927183	5.58734239275692	5.03985864565828	2.57549673389426	2.80136298253221	3.91001679981397	7.3374679161479	12.2952234614328	4.6592262923256	5.19029751863221	4.06634689103113	2.96181197299935	0	0
DDB_G0286269	72.7177914396446	60.6893752974586	40.8932545134099	33.5549980056268	32.3188122961209	29.126969459591	60.4968590361734	124.545070507812	70.327777544817	29.3676479236129	31.7075865871154	26.3128229004219	32.8376490445682	45.9259750886845	34.5639485737646	405.768240300911	1.34011940990238	12.6573382959597
DDB_G0286271	459.8819097158	311.806997007589	328.273906090545	246.232173483682	261.474138641085	219.571582431821	239.752661474073	70.5036896313077	493.180890409697	306.122674053137	287.327828510843	169.635914564373	135.19807597497	167.468872599875	618.084727436731	599.766924532368	372.55319595286	169.608333165861
DDB_G0286273	0	6.447728165501	6.49444429091889	0	0	0	5.32545639194008	0	11.8404403380022	0	3.32282834800486	0	11.0773224836387	0	0	0.740452993249837	0	0
DDB_G0286275	0	14.1708235103085	0	0	0	0	0	0	0	0	0	0	0	0	2.03317344551556	0.740452993249837	0	0
DDB_G0286277	19.8938865336810	42.9308111227751	28.555945544208	42.9435500793447	20.4233911175448	20.7676950956518	22.0778753794001	32.8214087973664	61.7308782098792	35.0354240322783	39.2393916318345	29.3787905677481	38.0376695948445	53.3283560342579	16.2653875641245	144.388333683718	1.34011940990238	2.53146765919195
DDB_G0286279	3.66154445703561	3.16276054933788	4.92331729199513	12.8266600866214	34.888235106913	11.3208523616121	11.6364316041313	0.72814461020993	2.90400561458165	4.14540079950417	11.2612968722799	13.5568149825628	8.23285482140653	8.07070695378042	528.625095834046	75.5262053114834	4.02035822970713	0
DDB_G0286281	0	0	0	0	0	0.899996252518237	0	0	0	0	0	0	0	0	0	0.740452993249837	0	0
DDB_G0286283	1.26811104638327	51.5817843792057	68.8059497623934	41.4613402420233	45.0363458949226	30.6367662195319	20.7260841003785	1.76525988987568	65.9223992834249	64.3187380635373	42.3884793326512	21.9107591062021	14.3705691121852	12.0953605877228	56.9288564744358	21.4731368042453	9.38083586931663	70.8810944573746
DDB_G0286285	0	0	22.3945787851449	17.9683625676358	529.928958475038	7227.24900959465	6193.12283061829	0	0	0	34.3739993272214	201.598974928974	4902.02110145866	6226.69246161471	69.1278971475292	0.740452993249837	40.2035822970713	20.2517412735356
DDB_G0286287	0	8.98987440745877	29.1772521984415	53.601886487927	240.833664103519	277.134623215833	136.127281803196	0	11.4644247162453	18.2417439700123	54.0507346969043	95.4020354103375	132.710695402850	110.623172702511	130.123100512996	17.0304188447462	219.77958322399	50.629353183839
DDB_G0286289	37.5962321933224	140.527264424523	168.794823965390	155.474737134202	123.751343741465	115.601990106609	80.0679684243683	103.71928141146	160.080380971956	135.071036358086	151.812048345145	109.477650058099	119.638402799076	69.8016413071639	219.582732115681	259.899000630693	203.698150305161	25.3146765919195
DDB_G0286291	0	5.96092017116762	2.00136973212769	6.42322185628549	12.5246814725267	5.45821136085503	8.20563450478591	12.5798676227629	2.73661969901068	5.72947654296559	8.19187327858265	7.20663854090359	6.82731791626014	7.09847982232077	28.4644282372179	9.62588891224788	60.3053734456069	10.1258706367678
DDB_G0286293	193.410276905436	120.432842154935	48.8568043291412	41.6705777550713	68.7148945078905	72.4020603336017	116.071983350541	203.188007292288	115.536898460609	51.0926639606842	96.136403894463	50.0064137978681	43.9496812377183	88.7623663651857	597.752992981576	1454.24967874268	719.644123117576	139.230721255557
DDB_G0286295	338.305079857150	303.392795448562	398.618684017808	404.827500590445	311.039706626755	61.8358030043133	79.1537464923497	206.858783780437	176.899627170023	434.317256767453	395.105010107505	471.852253499885	101.801436172236	94.0184796459146	963.724213174377	821.162369514069	869.737497026642	253.146765919195
DDB_G0286297	13.2169334118761	50.8552856804677	106.106340613496	119.775807104351	123.072541730659	192.918154834433	186.015813331453	18.3984852790967	53.365328111644	87.2870289273585	104.832822083971	83.4413069282046	91.5308644595803	137.187658429409	56.9288564744358	21.4731368042453	0	32.9090795694953
DDB_G0286299	12.9661200476896	28.5086981609729	51.6874572049537	89.0871366843382	99.5846551444063	171.419174983522	375.960101248977	8.42302688393374	20.5047808547973	78.5518146619388	95.4974840573353	120.058207728636	95.780174491233	341.916854291750	136.222620849543	23.6944957839948	92.4682392832639	179.734203802628
DDB_G0286301	3.54025699470176	5.18932508738212	6.5336545335058	9.22644589254558	28.6215777120229	3.56376603784953	12.8582612730107	0	4.16917447123895	0	5.34862390744917	4.70534612553121	5.20062754313183	2.64841561128805	26.4312547917023	31.839478709743	0	20.2517412735356
DDB_G0286303	20.8313479759941	8.7241960777418	17.5748120750822	29.260004923052	22.7701534019629	7.48917083769581	17.1135120562971	39.3544916185108	16.0208868153343	20.9636580210498	26.1330182176377	27.6868890126135	10.3044828321079	7.79181670516606	81.3269378206225	51.8317095274886	95.1484781030687	12.6573382959597
DDB_G0286305	232.984775622290	59.5952139790527	60.0270028850192	89.3574755058198	79.9260157337064	892.846722210288	557.154023523439	341.985068517445	48.898321835987	29.2500361513201	71.8798890602128	83.5467310780508	755.911721889589	644.537403279482	172.819742868823	752.300241141834	121.950866301116	70.8810944573746
DDB_G0286307	1.68293123724366	7.40054518881329	3.72708240930013	10.7655717614599	17.4932144904260	72.8465892281085	29.0340377917572	25.76976299432	12.7407831963706	5.3349041146642	9.53465341314096	3.35516912552573	37.0833186349384	15.1077213934834	12.1990406730934	19.2517778244958	150.093373909066	25.3146765919195
DDB_G0286309	0	0	25.2947966062328	68.1924153017574	2848.34267144485	10853.6286196791	3794.70869508615	0	0	15.6895653290534	43.3552714558517	1903.63153368052	8099.6338431682	4817.10076383684	1236.16945487346	24.4349487772446	54357.9235044602	1156.88072025072
DDB_G0286311	21.5957421346057	6.31099285553732	9.08102612017109	4.66316199480612	8.05085421474771	10.1816264922160	6.95002774710342	26.2567821092265	5.24279810090246	3.7551162474303	4.8011057849418	5.81323407580047	6.36776375732781	5.82823764220799	4.06634689103113	28.1372137434938	609.754331505581	81.0069650941424
DDB_G0286313	0	0	1.75052383666768	7.86541532131117	47.9275742341023	11.1395548384630	11.4834624027933	0	0	0	18.8084598655947	17.8595746931859	8.95740244373735	9.75664939220928	2.03317344551556	37.0226496624918	1.34011940990238	58.2237561614148
DDB_G0286315	175.748379506691	359.090193877774	270.148664528665	230.109204974307	135.709121824376	65.7613294429135	70.3412382826048	60.3573795983846	374.646141742807	293.833842150651	213.552116889328	144.454934298467	111.737846764010	97.9574117756162	124.023580176449	271.00579552944	698.202212559138	2688.41865406185
DDB_G0286317	0	5.43345936652657	1.82427558240256	6.44033896642905	2.14057810829351	3.31682232401717	1.49590936895870	0	5.40467605727822	1.74083178959783	5.1335647694153	3.28447425538782	1.03719877175417	0.924337196539473	0	0	2.68023881980475	0
DDB_G0286319	0	0	6.94593517751239	8.91694961272518	0	0	0	0	6.33179124932721	0	10.6614897029058	0	3.94913767650824	7.03883372803917	0	2.96181197299935	0	0
DDB_G0286321	2.26156975163937	24.8626455648782	875.662695753829	71.7995545344153	23.5078676270118	18.2127014737791	17.1126081602486	3.14819304043699	42.2328321087787	841.981814196234	74.7421041931036	52.1013362579677	44.612931616345	30.0303016003349	18.2985610096401	13.3281538784971	52.2646569861926	45.5664178654551
DDB_G0286323	0.276456348113378	0.911769737677257	1.83675167919569	0.589489455196084	1.19734298698677	0.834876461648538	1.25511649293545	0	0.418587559209107	0.584245739986647	2.34939675916961	0.734874789271268	1.21834078765222	0.930658675840496	0	17.0304188447462	6.70059704951188	7.59440297757585
DDB_G0286325	0	0	0	0	0	8.94539464331254	0	0	0	0	5.03458467208264	0	2.79730158281824	0	0	0	1.34011940990238	0
DDB_G0286327	0	0	0	3.29105579235192	16.0431269656310	32.6271741343520	28.0287178523161	0	1.55795267605293	1.63089034909064	1.74885702526571	9.23113432950259	25.2640688223338	20.7830664235283	22.3649079006712	8.88543591899804	36.1832240673641	20.2517412735356
DDB_G0286329	0.738204264291877	0	0.817427375232163	1.04938478847392	1.91831449307387	1.48621260547822	0	0	1.49030457934943	0.780037607375952	2.92760937384317	2.45286329497743	1.85900568481533	1.24254011129441	2.03317344551556	2.96181197299935	0	2.53146765919195
DDB_G0286331	51.3991461168016	63.5690584041113	98.5853175783996	244.966128074150	623.312653762972	179.705710591486	202.100359219128	59.4117298686249	87.5524243644626	170.209576020919	312.002207672156	655.69690229894	291.523268599665	245.63987590959	219.582732115681	342.829735874674	679.440540820504	141.762188914749
DDB_G0286333	0	0	5.8963672761655	24.8713815405908	30.9694662511664	2.29725660509268	0.690718875428194	0	1.15179080903056	18.4876064167754	46.5453342986404	21.7374754733619	2.39457277321633	1.28040607704988	6.09952033654669	3.70226496624918	2.68023881980475	0
DDB_G0286335	210.381102647274	43.7300159442987	95.924263623271	126.285662416348	117.915933745106	133.473615361183	296.974362898566	97.2093924606576	50.4134835962521	148.513483927952	108.173793615603	168.005149550443	154.710127049304	371.966344237331	85.3932847116536	203.624573143705	95.1484781030687	286.05584548869
DDB_G0286337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0286339	0	0	9.27777755845556	0	7.25760505588072	0	0	0	0	0	0	0	0	0	2.03317344551556	2.96181197299935	0	0
DDB_G0286341	123.790244770524	70.0264997023889	130.421112659989	47.8371660260388	80.1607784020945	33.8751809341765	48.0163715600752	88.6699440065415	83.707963905849	133.345230964550	59.9198073726139	75.8751552551289	33.2924725519097	30.3441043934576	341.573138846615	245.830393758946	491.823823434172	32.9090795694953
