ddb_g	bio1.hr00	bio1.hr04	bio1.hr08	bio1.hr12	bio1.hr16	bio1.hr20	bio1.hr24	bio2.hr00	bio2.hr04	bio2.hr08	bio2.hr12	bio2.hr16	bio2.hr20	bio2.hr24	bio2.prespore	bio2.prestalk	bio4.prespore	bio4.prestalk
DDB_G0278973	3	0	6	9	6	4	7	2	3	4	13	4	6	3	10	8	5	0
DDB_G0278975	91	153	202	207	171	125	190	78	460	145	363	209	228	280	9	394	40	9
DDB_G0278977	0	1	2	1	1	0	0	0	1	0	0	1	0	0	0	3	0	0
DDB_G0278979	18	6	22	61	85	37	41	10	16	11	67	83	56	51	18	60	39	38
DDB_G0278981	212	118	288	337	154	74	140	158	341	291	369	184	187	194	80	457	21	26
DDB_G0278983	0	0	1	2	4	2	4	1	1	1	1	0	3	3	1	11	0	1
DDB_G0278985	117	47	106	532	583	60	20	44	148	108	1073	663	105	21	281	124	26	7
DDB_G0278987	1	5	4	10	5	3	7	2	10	2	10	9	6	9	96	97	0	0
DDB_G0278989	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	4	0	0
DDB_G0278991	259	709	635	802	508	337	401	612	2332	716	1136	575	605	642	178	1289	62	19
DDB_G0278993	1	0	0	1	1	0	0	1	1	0	3	1	1	2	3	6	1	0
DDB_G0278995	61	192	84	190	81	62	298	74	426	63	280	151	169	309	12	478	4	5
DDB_G0278997	0	6	21	89	196	77	78	0	28	30	139	192	126	102	137	115	43	431
DDB_G0278999	3	1	46	72	111	52	46	2	16	30	129	86	66	54	387	633	79	698
DDB_G0279001	3	5	7	20	31	23	31	4	17	6	31	31	35	50	24	34	77	29
DDB_G0279003	60	218	175	351	367	271	218	14	374	239	426	499	633	370	319	530	182	39
DDB_G0279005	61	175	206	288	91	33	48	133	266	185	291	162	122	92	64	203	44	3
DDB_G0279009	147	52	76	228	50	76	94	120	140	76	230	80	148	144	80	504	156	15
DDB_G0279011	14	59	193	312	450	793	687	96	259	275	573	463	1330	1162	229	506	945	668
DDB_G0279013	2090	190	66	119	24	25	29	423	119	50	72	68	136	127	24	789	3	0
DDB_G0279015	4	24	19	78	14	12	17	12	84	15	96	33	24	24	5	22	44	8
DDB_G0279017	1	10	94	142	98	119	108	1	28	88	151	113	177	199	31	39	239	86
DDB_G0279019	13	36	71	103	75	72	111	11	147	66	142	85	116	123	16	22	4	7
DDB_G0279021	9	7	9	20	20	40	14	3	3	3	7	13	93	35	46	53	25	10
DDB_G0279023	0	1	38	10	15	73	8435	1	3	5	14	14	107	9577	36	73	11	6
DDB_G0279025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0279031	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	5	0	1
DDB_G0279033	303	50	66	65	25	92	160	48	135	52	66	44	149	244	13	55	6	4
DDB_G0279035	0	1	4	1	3	274	1959	0	0	0	0	2	509	3051	6	6	0	0
DDB_G0279037	1	3	10	15	26	11	12	3	13	9	32	15	13	14	27	9	1	0
DDB_G0279039	20	24	47	69	70	28	35	4	103	30	99	56	45	34	69	58	12	2
DDB_G0279041	29	658	441	429	388	120	153	35	1068	412	555	524	226	276	57	194	16	51
DDB_G0279043	39	11	118	209	108	46	38	28	56	146	334	202	143	79	105	174	16	65
DDB_G0279045	284	97	253	257	75	38	27	85	200	246	281	136	79	66	18	90	16	10
DDB_G0279047	6	42	12	7	15	25	25	6	196	11	22	14	19	37	15	27	1	5
DDB_G0279049	43	131	96	187	349	442	462	41	263	76	233	282	405	441	265	913	51	17
DDB_G0279051	0	325	1369	1284	1486	900	998	0	685	903	1786	1480	1324	1261	335	653	118	27
DDB_G0279053	125	594	508	553	793	499	416	104	3221	621	964	706	731	543	33	1353	20	314
DDB_G0279055	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DDB_G0279057	0	0	0	3	7	2	7	0	0	0	1	1	1	2	0	0	0	9
DDB_G0279059	113	117	57	104	30	38	53	93	210	62	90	50	67	79	14	125	14	11
DDB_G0279061	12722	1551	422	667	239	189	312	4331	2996	408	622	418	551	613	148	2834	164	57
DDB_G0279065	1	3	11	26	58	54	33	3	4	5	37	48	32	35	9	7	16	1
DDB_G0279067	53	90	147	186	174	196	192	89	218	117	251	199	334	286	216	463	40	25
DDB_G0279069	8	5	15	16	13	11	15	7	13	6	22	14	19	18	7	72	25	8
DDB_G0279071	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1
DDB_G0279073	0	0	0	0	7	2	8	0	0	0	0	1	1	5	0	0	0	0
DDB_G0279075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0279077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0279081	5229	5062	2451	3544	823	768	2408	4353	7543	2666	3725	1349	1888	3661	924	10219	199	104
DDB_G0279083	3	13	33	33	44	28	42	14	44	17	52	40	43	26	10	178	8	0
DDB_G0279085	125	106	393	824	371	104	149	74	333	632	1174	708	392	283	148	252	25	21
DDB_G0279087	0	2	0	0	1	2	2	2	9	4	4	0	0	0	0	12	9	1
DDB_G0279089	76	207	444	729	1458	1414	1192	59	690	388	1102	1344	1685	1577	582	338	603	15
DDB_G0279091	282	841	99	45	41	71	315	190	1133	86	126	46	60	309	81	168	21	18
DDB_G0279093	90	40	46	85	128	217	219	62	109	40	130	96	211	295	25	152	542	34
DDB_G0279095	2	5	6	19	23	28	76	5	12	5	14	20	25	41	44	97	105	37
DDB_G0279097	0	1	0	0	0	2	0	0	0	1	0	0	2	0	0	0	4	2
DDB_G0279099	175	1625	792	565	802	480	636	126	3492	752	1064	801	879	968	240	814	677	123
DDB_G0279101	0	0	28	103	60	6	5	0	7	19	182	42	15	4	10	2	1	1
