jgi_id	bio1.hr00	bio1.hr04	bio1.hr08	bio1.hr12	bio1.hr16	bio1.hr20	bio1.hr24	bio2.hr00	bio2.hr04	bio2.hr08	bio2.hr12	bio2.hr16	bio2.hr20	bio2.hr24	bio1.prespore	bio1.prestalk	bio2.prespore	bio2.prestalk
74087	14	20	26	11	7	5	6	22	23	23	15	8	11	11	8	5	7	0
74088	286	13	26	10	4	2	6	528	17	54	16	5	2	4	2	4	5	44
74089	8	14	8	4	7	4	3	14	16	13	4	5	4	7	4	1	5	1
74091	6	0	3	21	66	46	29	7	6	5	10	55	38	12	6	3	6	11
74095	131	1415	538	234	587	513	522	281	2267	983	374	886	779	565	395	127	556	628
74099	22	81	19	8	20	29	19	23	112	15	13	39	38	24	19	33	28	116
74100	7	0	0	0	1	1	0	19	0	0	1	1	1	3	1	0	0	0
74102	18	109	7	1	6	4	3	22	135	24	1	4	2	9	2	1	2	2
74104	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
74105	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
74109	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0
74110	2	5	8	8	4	4	3	8	4	6	14	6	4	7	16	10	7	4
74111	227	1322	127	3	7	10	4	559	1839	270	11	8	16	9	13	22	23	96
74112	33	226	62	21	15	11	8	50	307	121	46	11	18	9	9	10	18	38
74116	2	22	91	67	112	67	84	6	28	76	58	91	87	114	93	100	112	275
74124	58	44	18	26	63	34	27	80	68	34	26	59	47	21	18	7	56	33
74128	47	59	126	139	233	164	147	58	51	246	138	268	236	152	72	29	123	152
74129	393	92	79	45	32	28	41	929	119	136	31	17	35	33	35	620	61	373
74135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74136	1	2	1	7	3	1	1	0	2	2	6	1	0	2	4	1	8	4
74143	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
